"","x"
"724","kasih yang lebih murah lagi dong"
"725","selalu puas menggunakan my telkomseludah sering ikut undiundi hepi tapi belum beruntungmudahan yang sekarang bisa beruntung"
"726","ok"
"727","beri lagi dong free kuotanya yang atau yang giga"
"728","apk ini sngat baik tapi terlalu mahal mohon untuk di murah kan"
"729","ok"
"730","mantap"
"731","okee"
"732",""""""
"733","kenapa ya sudah di perbarui malah enggak bisa di buka tolong dong di perbaiki sudah di perbarui malah meminta di perbarui lagijangan bikin enggak nyaman dong"
"734","saya sangat pua"
"735","mantap"
"736","sangat bagus"
"737","terima kasih"
"738","mantap"
"739",""""""
"740","goodjob"
"741","thebesh"
"742","sangat puas"
"743","mantap mudah pemakaiannya dan sangat membantu"
"744","keren"
"745","mantappppp"
"746","sangat memuaskanthank you telkomsel"
"747","bagus"
"748","sangat memuaskan"
"749","bagus"
"750","memuaskan"
"751","sangat baik"
"752","memuaskan"
"753","semoga saya menang undian"
"754","sangat baik"
"755","menampilkan paket data pada my orbit"
"756","good"
"757","cukub baik"
"758","sinya bagus paket bagus murah karena kartu saya sudah lama dan yang mengecewakan nya cuma mau yang bulan paket kuota kemahalan memang ada bulan cuma kuota nya dikit maxsimal gb full kuota utama baru pas"
"759","nice"
"760","nyaman mudah berkualitas"
"761","terimah kasih"
"762","baik bagus"
"763","jaringannya sekarang masih agak lemah khususnya kab rote ndao"
"764","sangat mudah mengakses pembelian paket datanya"
"765","harisandi"
"766","ok sekali"
"767","mantap"
"768","sangat bermanfaat aplikasi initop deh pokok nya"
"769","sangat ideal"
"770","bgusss"
"771","baik"
"772","good"
"773","sangat puas"
"774","telkomsel baik banget deh"
"775","ulasan"
"776","wow"
"777","sangat baik"
"778","bermanfaat"
"779","aman"
"780","bagus banget aplikasi ini belum apa baru saja daftar sudah dapat pulsa sama paket data gratis"
"781","paketnya enggak ada yang murah "
"782","ok"
"783","luar biasa"
"784","sangat baik"
"785","ok"
"786","mantap"
"787","sangat menangkan"
"788","mangtaaaab"
"789","good"
"790","good"
"791","toppp"
"792","pas buat seluruh rakyat indonesia"
"793","terbaik pelayananya"
"794","saya pengin punya motor"
"795","sangat baik"
"796",""""""
"797","mantap"
"798","baik"
"799","sangat puas"
"800","cek pulsa dan paket"
"801","keren"
"802","ku kasih langsung "
"803","mantap"
"804","my telkomsel sangat membantu sangat efektif dalam berkomunikasi berinteraksi lancar tertib dan aman tmk"
"805","mudah bertransaksi paket data"
